# Generated by scripts/update_gplay_version_catalog.py
# Sources: minecraft-linux/mcpelauncher-versiondb architecture databases
# Classification: tools/mcbedrock-get/catalog.py (shared with the Windows helper)
# version_code	abi	channel	version_name	edition	update	renderer	notes
972113028	arm64	preview	1.21.130.28	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972113027	arm64	preview	1.21.130.27	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972113026	arm64	preview	1.21.130.26	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972113024	arm64	preview	1.21.130.24	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972113022	arm64	preview	1.21.130.22	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972113020	arm64	preview	1.21.130.20	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972112025	arm64	preview	1.21.120.25	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972112024	arm64	preview	1.21.120.24	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972112023	arm64	preview	1.21.120.23	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972112022	arm64	preview	1.21.120.22	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972112021	arm64	preview	1.21.120.21	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972112020	arm64	preview	1.21.120.20	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972111026	arm64	preview	1.21.110.26	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972111025	arm64	preview	1.21.110.25	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972111024	arm64	preview	1.21.110.24	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972111023	arm64	preview	1.21.110.23	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972111022	arm64	preview	1.21.110.22	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972111020	arm64	preview	1.21.110.20	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972110024	arm64	preview	1.21.100.24	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972110023	arm64	preview	1.21.100.23	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972110022	arm64	preview	1.21.100.22	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972110021	arm64	preview	1.21.100.21	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972110020	arm64	preview	1.21.100.20	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972109028	arm64	preview	1.21.90.28	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972109027	arm64	preview	1.21.90.27	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972109026	arm64	preview	1.21.90.26	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972109025	arm64	preview	1.21.90.25	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972109023	arm64	preview	1.21.90.23	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972109021	arm64	preview	1.21.90.21	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972109020	arm64	preview	1.21.90.20	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972108028	arm64	preview	1.21.80.28	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972108027	arm64	preview	1.21.80.27	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972108025	arm64	preview	1.21.80.25	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972108022	arm64	preview	1.21.80.22	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972108021	arm64	preview	1.21.80.21	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972108020	arm64	preview	1.21.80.20	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972107026	arm64	preview	1.21.70.26	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972107025	arm64	preview	1.21.70.25	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972107024	arm64	preview	1.21.70.24	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972107023	arm64	preview	1.21.70.23	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972107022	arm64	preview	1.21.70.22	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972107020	arm64	preview	1.21.70.20	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972106028	arm64	preview	1.21.60.28	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972106027	arm64	preview	1.21.60.27	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972106025	arm64	preview	1.21.60.25	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972106024	arm64	preview	1.21.60.24	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972106023	arm64	preview	1.21.60.23	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972106021	arm64	preview	1.21.60.21	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972105069	arm64	preview	1.21.50.29	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972105068	arm64	preview	1.21.50.28	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972105066	arm64	preview	1.21.50.26	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972105065	arm64	preview	1.21.50.25	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
972105064	arm64	preview	1.21.50.24	Bedrock	Tricky Trials	RenderDragon	beta/preview build · RenderDragon — guaranteed to stutter, do not use · tiny UI on a handheld screen
